,AvgTemp,MaxTemp,MinTemp,Rainfall,Humidity,WindSpeed,Pressure,Sunshine,Cloud,Evaporation
AvgTemp,1.0,0.94,0.94,-0.07,0.0,-0.08,-0.42,0.14,0.07,0.57
MaxTemp,0.94,1.0,0.77,-0.14,-0.18,-0.12,-0.41,0.33,-0.1,0.51
MinTemp,0.94,0.77,1.0,0.01,0.18,-0.04,-0.38,-0.06,0.23,0.57
Rainfall,-0.07,-0.14,0.01,1.0,0.35,0.12,-0.02,-0.31,0.25,-0.11
Humidity,0.0,-0.18,0.18,0.35,1.0,-0.27,0.23,-0.59,0.52,-0.27
WindSpeed,-0.08,-0.12,-0.04,0.12,-0.27,1.0,-0.17,0.08,-0.08,0.15
Pressure,-0.42,-0.41,-0.38,-0.02,0.23,-0.17,1.0,-0.07,-0.01,-0.32
Sunshine,0.14,0.33,-0.06,-0.31,-0.59,0.08,-0.07,1.0,-0.75,0.18
Cloud,0.07,-0.1,0.23,0.25,0.52,-0.08,-0.01,-0.75,1.0,-0.04
Evaporation,0.57,0.51,0.57,-0.11,-0.27,0.15,-0.32,0.18,-0.04,1.0
