,days,rain_total,rainy,temp,tmax,tmin,humidity,wind,sunshine,rain_per_day,rainy_pct
Jan,277,872.6,62,23.89,27.48,20.3,63.05,16.9,7.59,3.15,22.38
Feb,255,1102.6,85,23.53,26.88,20.19,66.65,16.76,6.91,4.32,33.33
Mar,310,1390.0,91,22.37,25.88,18.86,66.62,16.61,6.8,4.48,29.35
Apr,265,1395.2,91,19.43,23.49,15.36,65.09,16.58,6.81,5.26,34.34
May,310,754.6,61,16.63,21.15,12.11,61.6,16.83,6.96,2.43,19.68
Jun,290,1711.2,102,14.46,18.38,10.54,66.61,16.48,5.36,5.9,35.17
Jul,276,791.4,69,13.5,18.01,8.99,60.35,17.16,6.71,2.87,25.0
Aug,269,531.8,48,14.57,19.38,9.75,54.04,17.73,7.87,1.98,17.84
Sep,260,450.8,48,17.3,21.99,12.61,53.31,18.23,8.2,1.73,18.46
Oct,262,577.8,60,19.16,23.55,14.77,55.92,17.92,7.97,2.21,22.9
Nov,257,774.6,74,21.07,24.83,17.32,61.36,17.48,7.39,3.01,28.79
Dec,240,579.6,58,22.21,25.83,18.58,61.76,17.86,7.81,2.42,24.17
